INDEX,TARGET_FLAG,TARGET_AMT,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,EDUCATION,JOB,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY
1,0,0,0,60,0,11,67349.00,No,0.00,z_No,M,PhD,Professional,14,Private,14230.00,11,Minivan,yes,4461.00,2,No,3,18,Highly Urban/ Urban
2,0,0,0,43,0,11,91449.00,No,257252.00,z_No,M,z_High School,z_Blue Collar,22,Commercial,14940.00,1,Minivan,yes,0.00,0,No,0,1,Highly Urban/ Urban
4,0,0,0,35,1,10,16039.00,No,124191.00,Yes,z_F,z_High School,Clerical,5,Private,4010.00,4,z_SUV,no,38690.00,2,No,3,10,Highly Urban/ Urban
5,0,0,0,51,0,14,,No,306251.00,Yes,M,<High School,z_Blue Collar,32,Private,15440.00,7,Minivan,yes,0.00,0,No,0,6,Highly Urban/ Urban
6,0,0,0,50,0,,114986.00,No,243925.00,Yes,z_F,PhD,Doctor,36,Private,18000.00,1,z_SUV,no,19217.00,2,Yes,3,17,Highly Urban/ Urban
7,1,2946,0,34,1,12,125301.00,Yes,0.00,z_No,z_F,Bachelors,z_Blue Collar,46,Commercial,17430.00,1,Sports Car,no,0.00,0,No,0,7,Highly Urban/ Urban
8,0,0,0,54,0,,18755.00,No,,Yes,z_F,<High School,z_Blue Collar,33,Private,8780.00,1,z_SUV,no,0.00,0,No,0,1,Highly Urban/ Urban
11,1,4021,1,37,2,,107961.00,No,333680.00,Yes,M,Bachelors,z_Blue Collar,44,Commercial,16970.00,1,Van,yes,2374.00,1,Yes,10,7,Highly Urban/ Urban
12,1,2501,0,34,0,10,62978.00,No,0.00,z_No,z_F,Bachelors,Clerical,34,Private,11200.00,1,z_SUV,no,0.00,0,No,0,1,Highly Urban/ Urban
13,0,0,0,50,0,7,106952.00,No,0.00,z_No,M,Bachelors,Professional,48,Commercial,18510.00,7,Van,no,0.00,0,No,1,17,z_Highly Rural/ Rural
14,1,6077,0,53,0,14,77100.00,No,0.00,z_No,z_F,Masters,Lawyer,15,Private,18300.00,1,Sports Car,no,0.00,0,No,0,11,Highly Urban/ Urban
15,0,0,0,43,0,5,52642.00,No,209970.00,Yes,z_F,Masters,Professional,36,Private,22420.00,7,Minivan,no,0.00,0,No,0,1,z_Highly Rural/ Rural
16,0,0,0,55,0,11,59162.00,No,180232.00,Yes,M,Bachelors,Manager,25,Commercial,17600.00,7,Van,yes,5028.00,2,Yes,3,9,Highly Urban/ Urban
